month,type,year_ship,buoy,time_port,time_anchor,time_trip,time_maneuver,v_trip,v_maneuver,v_max,P_main,P_aux,is_man,valve_type,rpm,E1_PM10,E2_PM10,E3_PM10,E4_PM10,E5_PM10,Total_PM10,E1_PM2.5,E2_PM2.5,E3_PM2.5,E4_PM2.5,E5_PM2.5,Total_PM2.5,E1_NOx,E2_NOx,E3_NOx,E4_NOx,E5_NOx,Total_NOx,E1_SOx,E2_SOx,E3_SOx,E4_SOx,E5_SOx,Total_SOx,E1_CO,E2_CO,E3_CO,E4_CO,E5_CO,Total_CO,E1_HC,E2_HC,E3_HC,E4_HC,E5_HC,Total_HC,E1_CO2,E2_CO2,E3_CO2,E4_CO2,E5_CO2,Total_CO2,E1_N2O,E2_N2O,E3_N2O,E4_N2O,E5_N2O,Total_N2O,E1_CH4,E2_CH4,E3_CH4,E4_CH4,E5_CH4,Total_CH4
7,container_ship,1994,0,214.04000000000002,208,0.24,5.8,9.87,5.22,13.0,24017.079650469077,4803.3949082119,False,C3,113.6,464.1631557852957,3385.1477933982956,28.474525015880143,2540.8037706477667,91118.48005081646,97537.06929566369,426.3237680854075,3109.1846580669126,25.47720659315592,2273.350742158528,81527.06109809893,87361.39747300294,42884.639393206664,245300.56473900695,2068.149711679716,184542.58965757463,6618079.077375091,7092875.0208765585,913.1905564906361,5223.459084442383,62.943686877208734,5616.51359827401,201419.79800706796,213235.9049331522,3531.6761853229023,18054.843037040137,164.8525132498324,14709.916566908125,527528.0423994637,563989.3307019847,1513.5755079955293,23538.03213120618,59.946368454484514,5349.060569784771,191828.37905435043,222288.9936317914,1495917.127068915,8503181.745421598,104306.68111080305,9307365.391425503,333781379.5545697,353192150.49959654,73.15614955311727,418.45390455477656,4.346111712950128,387.80689130939595,13907.557481440406,14791.320538570648,30.27151015991059,470.76064262412353,1.1989273690896902,106.98121139569544,3836.567581087009,4445.779872635829
12,container_ship,2022,0,35.75,29,0.24,6.51,9.87,4.65,14.0,40965.125353701194,8193.04637877623,False,SV,106.4,633.8853341183842,5555.796512034847,48.568378933385496,4864.309951635993,21668.969062587374,32771.52923930998,582.2098992717769,5102.878318118965,43.45591799302913,4352.277325147994,19388.024950736075,29468.846411267838,11713.098565231014,73424.53741281456,511.24609403563676,51203.26264879992,228094.41118513024,364946.5559060114,1247.1004942981256,7145.45631324814,107.3616797474837,10752.685156247984,47899.826348877345,67152.42999241907,4823.040585683359,39227.11285713418,281.1853517196002,28161.79445683996,125451.92615182165,197945.05940319874,2067.0173938642965,45203.87411121641,102.24921880712736,10240.652529759986,45618.882237026046,103232.67549067386,2042902.1909358797,11647179.781535273,177913.6407244016,17818735.40178237,79376855.09242533,111063586.10740325,99.905840703441,626.2681132269479,7.413068363516733,742.4473084075989,3307.3689621843887,4783.403292885893,41.340347877285936,904.0774822243284,2.0449843761425472,204.8130505951997,912.3776447405211,2064.6535098134777
6,container_ship,1990,0,235.67,229,0.25,6.42,9.42,4.72,13.0,39250.85196808216,7850.149251850114,False,C3,120.5,686.9570280052588,5414.865881720803,48.474671630174456,4596.29378755525,163948.79709503925,174695.38846395072,630.9550963743955,4973.436597884868,43.37207461647189,4112.473388865223,146691.02897977197,156451.26613751292,63468.85584831196,375214.89126054477,3520.7919394547766,333836.07509611815,11907859.999534432,12683900.613678861,1351.5132833581722,7727.907085383525,107.15453728775407,10160.22837249055,362413.1304206131,381759.9336991331,5226.846952213927,28900.83352729566,280.64283575364163,26610.121927951444,949177.246339701,1010195.6915829157,2240.07726523454,40597.02102163272,102.05194027405149,9676.407973800526,345155.3623053458,397770.92050628766,2213943.03047347,12587729.916772917,177570.37607684958,16836949.874412913,600570330.4113017,632386523.6090379,108.27040115300277,640.0724615621059,7.398765669868733,701.539578100538,25023.763767137574,26481.044973623088,44.8015453046908,811.9404204326544,2.04103880548103,193.5281594760105,6903.107246106916,7955.418410125752
7,container_ship,2007,0,62.019999999999996,55,0.25,6.77,9.63,4.47,14.0,26853.982614924298,5370.775501102945,False,SV,116.3,402.0326174775318,4714.564197455417,33.164538719310684,3316.0456929929837,26939.809913532372,35405.61696017761,369.25821931360264,4330.224724836769,29.67353464359377,2966.9882516253015,24104.040448950014,31800.18517936928,34959.35804152451,276464.05174354493,2129.5124861873173,212925.03923428635,1729819.3733952362,2256297.334900779,790.9554756894919,5248.2013589758135,73.3110855900552,7330.206268721333,59551.15875622945,72993.83294520613,3058.9438286333943,31575.366471350295,192.00522416443027,19198.15927522254,155967.32055202953,209991.79535140021,1310.975926557169,41469.60776153173,69.82008151433828,6981.1488273536515,56715.3892916471,106546.94188860398,1295681.207414002,8562101.150444563,121486.94183494861,12147198.959595352,98684777.36746594,120811245.6267548,63.36383645026317,501.0910937851752,5.061955909789526,506.13328998313966,4111.865723644415,5187.515899772782,26.21951853114338,829.3921552306347,1.3964016302867657,139.622976547073,1134.3077858329418,2130.9388377720798
7,container_ship,2021,0,128.13,122,0.25,5.88,9.54,5.15,14.0,27651.763033605854,5530.331584839256,True,SV,131.1,249.51421559663876,590.260805554921,34.1497975363824,2965.6734943595598,61532.681345555495,65372.279658602994,229.4997063241811,542.9136821146867,30.55508200623689,2653.4973370585535,55055.55699339176,58512.02280089542,6255.90125893212,36615.1087937812,359.4715530145516,31217.615730100628,647712.4352163736,722160.5325522021,894.6813751497958,3537.5990058960706,75.48902613305584,6555.699303321131,136019.61139543846,147083.0801059385,4138.51929437048,1068.3453494206715,197.7093541580034,17169.68865155535,356241.8393690055,378816.10201851005,754.645431584469,4856.115224639416,71.89431060291032,6243.523146020126,129542.48704327473,141468.66515612166,1465849.5348464232,5796016.326368376,125096.10044906398,10863730.274075018,225403927.45529804,243654619.6910369,69.77736019578134,408.39929039217486,5.212337518710999,452.6554280864591,9391.830310637417,10327.874726830543,15.09290863168938,97.12230449278832,1.4378862120582065,124.8704629204025,2590.849740865495,2829.3733031224333
5,container_ship,2000,0,285.37,279,0.23,6.14,10.3,4.93,13.0,28490.7593539815,5698.129380991549,True,SV,128.0,467.7630400814321,684.6451351795827,32.37107301341299,3190.770113215075,144987.76247345374,149363.31183494325,429.63018355305456,628.8316730725516,28.963591643580045,2854.8995749819096,129725.892739406,133668.2177626571,51626.021146111234,265614.83505294845,2078.563635598097,204881.0283222311,9309740.537769135,9833940.985926025,1179.8370994250167,3764.594167212371,71.55710876649187,7053.281302896481,320499.264415003,332568.5340933034,6889.987923161562,1602.8481425608957,187.41147534081205,18472.87960282412,839402.8353726271,866555.9625165144,1388.427083853749,6869.349182403839,68.14962739665891,6717.4107646633165,305237.3946809553,320280.7313392728,1932716.5744724723,6166862.820875513,118580.35167018652,11688294.730514169,531113066.74486214,551019521.2223945,93.57216332732662,481.4268885334691,4.940847986257772,487.0122804380904,22129.711114369256,23196.663294654398,27.768541677074982,137.38698364807678,1.3629925479331784,134.34821529326632,6104.747893619105,6405.614626785456
7,container_ship,2010,0,216.82,210,0.22,6.6,10.52,4.59,13.0,51537.876359743284,10307.554250066742,False,C3,113.3,1105.564756416277,8512.453586325368,56.01124979486267,6204.323054200172,197410.27899727822,213288.63164401488,1015.4371947519065,7818.5035657010185,50.1153287638245,5551.236416915944,176630.24962914368,191065.54213527637,86522.45919779559,476467.43163644744,3095.3585412950424,342870.4845742201,10909515.418270638,11818471.152220396,2175.0784881668055,10948.090897116508,123.81434165180168,13714.8193829688,436380.6167308255,463342.4198407294,8411.905755341237,44822.43395349204,324.2756567070997,35919.76505063257,1142901.6152474002,1232379.9956635733,3605.102466574816,69260.25448561479,117.91842062076351,13061.732745684572,415600.58736269106,501645.595481186,3563042.93779811,17845519.91548613,205178.05188012854,22727414.977491155,723145022.0110823,767486177.8937379,174.24661921778278,959.5524664900678,8.549085495005356,946.9756240621316,30131.042583795097,32220.366379060084,72.10204933149632,1385.2050897122963,2.3583684124152704,261.2346549136915,8312.01174725382,10032.91190962372
5,container_ship,2015,0,105.39,99,0.24,6.15,9.95,4.92,12.0,48680.53177399824,9736.061375190146,True,C3,114.2,1029.4118625473307,3075.2812583570067,57.71537183212719,5460.762104116649,87904.95094431678,97528.1215411699,945.492417230972,2824.5789818605117,51.64006953400854,4885.945040525423,78651.79821333608,87359.45472248699,91112.5406291892,487290.9433531875,3189.533706512292,301778.9583853938,4857905.183764875,5741277.159839158,2386.908794640996,8067.042141487221,127.58134826049168,12071.158335415752,194316.20735059498,216968.89797039944,8858.163672282282,36976.00654170528,334.14162639652585,31614.938497517447,508923.4002039393,586706.6505418408,3836.317500176387,25998.75459963653,121.50604596237304,11496.341271824525,185063.0546196143,226515.9740372141,3910046.7271329025,13214795.552215254,211420.51997452904,20003633.812974673,322009715.03812885,359349611.6504262,183.4905332115616,981.3498164751693,8.809188332272045,833.4847422072781,13417.071459922036,15424.205740148318,76.72635000352773,519.9750919927307,2.4301209192474604,229.92682543649047,3701.2610923922857,4530.3194807442815
7,container_ship,2014,0,206.01999999999998,200,0.23,5.79,10.11,5.23,13.0,54610.644839286964,10922.128967857394,True,C3,109.1,858.763277562712,3068.55364420075,62.04861466639785,5767.408357219161,199219.63237371886,208976.40626736789,788.7554016744475,2818.399814510472,55.51718154361914,5160.312740669776,178249.14475543267,187072.12989383098,79968.49012856954,486224.92526465986,3429.002389458829,318725.19868842734,11009505.999600254,11897853.61607137,2138.6372212279975,8049.394342033852,137.16009557835315,12749.007947537091,440380.2399840101,463454.4395903874,8188.262951994488,36895.11628024519,359.22882175282973,33390.258910216195,1153376.819005741,1232209.6859699497,3402.9144735561504,25941.878634547404,130.62866245557444,12141.912330987707,419409.75236572395,461027.0864672708,3503347.7132270792,13185886.31167424,227293.8726726995,21126927.45591861,729772969.1163596,767816424.4698522,161.04765373114702,979.202974491329,9.470578028029147,880.2886439966088,30407.207046514988,32437.2168967621,68.058289471123,518.837572690948,2.6125732491114886,242.83824661975416,8388.195047314479,9220.541729345416
6,container_ship,2011,0,315.32,310,0.24,5.08,9.92,5.96,15.0,62180.78888217442,12436.115492902247,False,C3,109.6,794.2304466203221,7437.601959523205,73.72129264192452,5761.60256339964,351593.8572153323,365661.0134775174,729.4833993414917,6831.275712822943,65.96115657435352,5155.118083041783,314583.9775084552,327365.81586023583,62157.16538767739,456527.9975154908,4074.0714354747765,318404.35218787484,19430186.846110467,20271350.432636987,1562.5620743291122,11476.606604208868,162.96285741899106,12736.174087514992,777207.4738444188,803145.7794678906,6043.05774602419,39668.79561744846,426.8074837164052,33356.646419682125,2035543.38387824,2115038.691145111,2589.8818911532244,51716.062218551684,155.20272135142005,12129.689607157137,740197.5941375417,806788.4305757552,2559666.6024231035,18682576.08582599,270052.7351514709,21105659.916453417,1287943813.7993226,1330561769.1391766,125.17762473907253,919.3966616631412,11.252197297977956,879.4024965188925,53664.32557497177,55599.55455519085,51.79763782306449,1034.3212443710338,3.104054427028401,242.59379214314274,14803.951882750833,16135.768611515103
